Strike,CE_OI,CE_IV,PE_OI,PE_IV
12000,0.0,0.0,6.333333333333333,0.0
12000,0.0,0.0,13.666666666666666,27.17
13000,0.0,0.0,8.0,0.0
13000,0.0,0.0,2.6666666666666665,0.0
14000,0.0,0.0,39.0,0.0
14000,0.0,0.0,14.333333333333334,0.0
14000,0.0,0.0,20.666666666666668,0.0
15000,0.0,0.0,24.666666666666668,0.0
15000,0.0,0.0,20.33333333333333,0.0
15000,0.0,0.0,13.333333333333334,0.0
15000,0.0,0.0,30.33333333333333,0.0
15000,0.0,0.0,6.333333333333333,0.0
16000,0.0,0.0,22.0,0.0
16000,0.0,0.0,28.33333333333333,0.0
16000,0.0,0.0,16.333333333333332,0.0
16000,0.0,0.0,32.333333333333336,0.0
16500,0.0,0.0,36.66666666666666,0.0
17000,9.333333333333334,0.0,49.0,0.0
17000,0.0,0.0,38.0,0.0
17000,0.0,0.0,189.33333333333331,0.0
18000,6263.0,0.0,5591.666666666667,30.51
18000,31.33333333333333,0.0,563.0,23.88
18000,0.0,0.0,0.0,0.0
18000,117.0,0.0,38.66666666666666,0.0
18000,0.0,0.0,0.0,0.0
18000,0.0,0.0,69.0,0.0
18000,0.0,0.0,0.3333333333333333,0.0
18000,0.0,0.0,135.66666666666666,0.0
18000,0.0,0.0,0.0,0.0
18000,0.0,0.0,0.0,0.0
18000,0.0,0.0,0.0,0.0
19000,592.3333333333334,0.0,3271.333333333333,26.92
19000,12.0,0.0,10633.0,21.22
19000,0.0,0.0,0.0,0.0
19000,85.66666666666667,0.0,125.66666666666669,0.0
19000,0.0,0.0,2.333333333333333,0.0
19000,0.0,0.0,31.0,0.0
19000,0.0,0.0,7.0,0.0
19000,0.0,0.0,7.0,0.0
19000,0.0,0.0,0.0,0.0
19000,0.0,0.0,0.0,0.0
19000,0.0,0.0,0.0,0.0
19000,0.0,0.0,0.0,0.0
19500,20.33333333333333,0.0,0.0,0.0
20000,6548.0,0.0,14044.666666666666,22.14
20000,44.0,0.0,9681.0,19.52
20000,0.0,0.0,0.0,0.0
20000,346.6666666666667,0.0,3355.6666666666665,20.5
20000,0.0,0.0,0.0,0.0
20000,0.0,0.0,54.0,0.0
20000,0.0,0.0,0.0,0.0
20000,0.0,0.0,53.66666666666666,0.0
20000,0.0,0.0,0.0,0.0
20000,0.0,0.0,11.666666666666666,0.0
20000,0.0,0.0,0.0,0.0
20000,0.0,0.0,0.0,0.0
21000,4696.333333333333,0.0,19280.33333333333,18.6
21000,7.0,0.0,2909.6666666666665,18.01
21000,0.0,0.0,0.0,0.0
21000,134.33333333333334,0.0,2360.0,19.37
21000,0.0,0.0,0.0,0.0
21000,0.0,0.0,19.666666666666668,0.0
21000,0.0,0.0,2.6666666666666665,0.0
21000,0.0,0.0,0.6666666666666666,0.0
21000,0.0,0.0,0.0,0.0
21000,0.0,0.0,13.333333333333334,0.0
21000,0.0,0.0,0.0,0.0
21000,0.0,0.0,0.0,0.0
21100,0.0,0.0,57596.0,31.48
21100,0.0,0.0,396.0,24.6
21100,34.0,0.0,12116.0,21.54
21100,0.0,0.0,55.0,19.76
21100,0.0,0.0,92.0,18.41
21150,0.0,0.0,5730.0,30.88
21150,0.0,0.0,113.0,24.2
21150,0.0,0.0,337.0,21.22
21150,0.0,0.0,0.0,0.0
21150,0.0,0.0,23.0,18.31
21200,0.0,0.0,7497.0,30.47
21200,0.0,0.0,117.0,23.81
21200,1.0,0.0,1663.0,20.8
21200,0.0,0.0,0.0,0.0
21200,0.0,0.0,203.0,18.08
21250,0.0,0.0,1373.0,30.04
21250,0.0,0.0,168.0,23.51
21250,2.0,0.0,7622.0,20.14
21250,0.0,0.0,9.0,22.33
21250,0.0,0.0,210.0,0.0
21300,0.0,0.0,12282.0,29.6
21300,0.0,0.0,126.0,22.61
21300,0.0,0.0,6823.0,19.76
21300,0.0,0.0,0.0,0.0
21300,0.0,0.0,398.0,17.88
21350,0.0,0.0,1902.0,28.82
21350,0.0,0.0,46.0,22.54
21350,5.0,0.0,657.0,19.9
21350,0.0,0.0,0.0,0.0
21350,0.0,0.0,38.0,0.0
21400,0.0,0.0,7431.0,28.21
21400,0.0,0.0,147.0,21.82
21400,4.0,0.0,2504.0,19.71
21400,0.0,0.0,0.0,0.0
21400,0.0,0.0,542.0,17.57
21450,0.0,0.0,1897.0,27.77
21450,0.0,0.0,46.0,23.0
21450,9.0,0.0,580.0,19.5
21450,0.0,0.0,1.0,0.0
21450,0.0,0.0,38.0,0.0
21500,16.0,0.0,36542.0,27.31
